ID,Name,Age,Gender,Email,City,Salary,Purchase_Amount,Signup_Date,Subscription_Type
1,Mrs. Lisa Long,60.0,Female,ortiztina@hotmail.com,Shawnborough,51911.0,958.28,2023-02-23,Premium
2,Johnny Harrison,,Other,wwebb@brown-nguyen.com,East Brian,,236.72,2021-10-24,Premium
3,Casey Calderon,53.0,Male,shawn84@wallace.org,Anthonyside,109812.0,607.25,2024-06-14,Standard
4,Calvin Carter,46.0,Female,nelsonerika@yahoo.com,East Taramouth,40748.0,,2021-10-07,Basic
5,Susan Bates,67.0,Female,singletonmichelle@hotmail.com,Clintonmouth,100448.0,696.47,2024-03-16,Standard
6,Daniel Moore,21.0,Other,james64@gmail.com,Dorseyborough,107225.0,,2021-10-19,Premium
7,,47.0,Male,pcook@jenkins.com,East Jamesburgh,,571.79,2021-08-04,Standard
8,Kristi Garrett,,Male,alexandra06@gmail.com,New Charlesport,86227.0,867.79,2020-07-14,Premium
9,Jennifer Williams,,Male,jenniferbaldwin@wilson.com,,51121.0,687.5,2020-02-28,Premium
10,Lonnie Best,38.0,Other,rileyanita@lopez.com,South Stevenview,138942.0,762.4,2021-04-10,
11,Heather Bailey,64.0,Female,xboyd@nguyen-smith.net,Cardenasmouth,131602.0,565.69,2023-08-14,Standard
12,Derrick Coleman,41.0,Other,john78@reynolds-gardner.com,Brendaborough,103906.0,768.58,2023-05-09,Premium
13,Brandon Colon,57.0,Female,ydavis@yahoo.com,Lake Cheyenne,,81.81,,Premium
14,Stephanie Barber,48.0,Male,timothy68@hanna.com,West Stephaniefort,94268.0,507.88,2024-03-04,Standard
15,Jonathan Green,51.0,,dukejay@hotmail.com,Lake Kevin,,392.76,2021-12-23,Premium
16,Jill Valentine,29.0,Other,thompsondavid@yahoo.com,Buchananshire,141764.0,,2024-06-07,Premium
17,Lauren Anderson,69.0,,onelson@yahoo.com,Cynthiaside,131998.0,276.62,2023-05-08,Basic
18,Jill Potts,44.0,Female,nancyguerra@gmail.com,West Jamesland,102255.0,425.03,2023-06-05,Standard
19,Debra Johnson,24.0,Male,aeaton@torres.net,Martineztown,145054.0,155.32,2022-11-14,Standard
